ID;submissionTime;duration;startTime;endTime;nodesRequired
0;4871;4627;4871;9498;1
1;5693;3573;5693;9266;1
2;7566;3068;7566;10634;1
3;8104;81235;406800;488035;83
4;10823;25502;10823;36325;21
5;10882;4715;10882;15597;1
6;11323;16471;11323;27794;17
7;11673;2333;11673;14006;1
8;16451;3319;16451;19770;2
9;16909;3793;16909;20702;2
10;18814;1068;18814;19882;1
11;21550;2988;21550;24538;1
12;25043;38070;25043;63113;29
13;27878;4214;27878;32092;1
14;31860;16116;36326;52442;23
15;33287;3835;33287;37122;1
16;37769;2559;37769;40328;1
17;38662;6691;38662;45353;3
18;39092;11078;52443;63521;18
19;39403;8757;52444;61201;22
20;39747;3034;39747;42781;1
21;50232;4341;61202;65543;1
22;52415;5113;61203;66316;1
23;59070;17954;61204;79158;13
24;68322;4461;68322;72783;1
25;76435;19579;76435;96014;24
26;80052;2632;80052;82684;1
27;80322;3328;80322;83650;1
28;81550;2962;81550;84512;2
29;81913;3906;81913;85819;2
30;82881;2852;82881;85733;1
31;83854;3179;83854;87033;1
32;85884;16752;96015;112767;20
33;85988;4220;85988;90208;1
34;86872;11171;86872;98043;2
35;87614;2367;87614;89981;1
36;95533;3123;95533;98656;2
37;97700;4530;97700;102230;1
38;101263;3467;101263;104730;1
39;103392;1539;103392;104931;2
40;110040;2018;110040;112058;1
41;111544;11688;111544;123232;19
42;114094;2828;114094;116922;2
43;115389;3959;115389;119348;1
44;115698;3249;115698;118947;1
45;117071;7559;117071;124630;3
46;122112;4448;122112;126560;1
47;123183;16596;123183;139779;18
48;128473;4010;128473;132483;1
49;130005;4301;130005;134306;1
50;132634;5130;132634;137764;1
51;137572;3172;137572;140744;2
52;143812;3742;143812;147554;1
53;144593;22115;144593;166708;15
54;144637;2705;144637;147342;1
55;148643;3702;148643;152345;2
56;150420;72675;488035;560710;90
57;150647;4784;150647;155431;1
58;155590;3077;155590;158667;2
59;158009;4381;158009;162390;1
60;168627;13440;168627;182067;3
61;174486;3736;174486;178222;1
62;185889;8067;185889;193956;15
63;188474;4331;188474;192805;1
64;190930;3413;190930;194343;1
65;198388;4226;198388;202614;1
66;198474;3745;198474;202219;1
67;205465;4374;205465;209839;2
68;212933;3316;212933;216249;1
69;216691;4066;216691;220757;1
70;230571;5128;230571;235699;1
71;233220;3470;233220;236690;1
72;234976;2200;234976;237176;1
73;236428;3338;236428;239766;1
74;238947;4238;238947;243185;1
75;242199;2891;242199;245090;1
76;246215;4139;246215;250354;1
77;247461;2598;247461;250059;1
78;252802;7823;252802;260625;19
79;258379;1833;258379;260212;1
80;260927;11347;260927;272274;18
81;285018;15232;285018;300250;26
82;286879;4106;286879;290985;1
83;288447;2914;288447;291361;2
84;288577;45737;288577;334314;47
85;293528;3509;293528;297037;1
86;296089;3333;296089;299422;2
87;301883;3572;301883;305455;1
88;307645;5666;307645;313311;1
89;307868;188472;1681200;1869672;82
